movie_id;recommendations
47933;205126, 602, 11260, 20856, 68179, 299687, 607, 1255, 72710, 168, 146631, 11551, 12589, 14161, 2114, 16866, 44833, 137113, 34851, 7450
2789;9920, 70981, 15070, 146631, 13282, 5491, 72190, 19959, 2135, 11253, 1687, 1688, 605, 61984, 12088, 76341, 81796, 71679, 10413, 9693
19848;57876, 17577, 2059, 92635, 10045, 2786, 29078, 104755, 10664, 5550, 22007, 29064, 23082, 2140, 9544, 238615, 1995, 1427, 16340, 9280
37137;36593, 268920, 256092, 180, 302688, 4551, 11517, 8592, 10074, 18713, 109431, 235, 9013, 10073, 192134, 38322, 13518, 51820, 17708, 30141
522;15059, 16858, 509, 215918, 11353, 6116, 33511, 10476, 10873, 159770, 87818, 52032, 39210, 10400, 30128, 921, 16433, 14799, 139998, 25428
88005;113406, 45658, 10890, 27845, 36691, 16614, 147773, 291362, 208134, 193722, 9352, 120467, 36825, 170687, 12183, 2755, 50725, 10073, 7873, 8970
108346;7735, 8618, 395766, 225235, 1259, 207, 20178, 103663, 19052, 7859, 8416, 52449, 1646, 7214, 666, 13811, 15797, 9451, 185465, 1584
1957;37233, 49520, 250349, 16112, 385636, 347764, 22327, 222649, 37165, 15394, 29339, 10998, 39053, 231576, 11090, 39210, 361505, 204082, 309503, 215918
235271;7973, 39141, 39210, 38843, 5708, 66942, 74465, 84355, 47088, 33511, 2755, 304410, 288927, 8272, 16727, 24985, 215918, 18475, 146269, 13075
11778;25784, 17044, 3060, 9952, 21309, 281230, 28, 69848, 9576, 28353, 10592, 30128, 113464, 11042, 41144, 9665, 2604, 16072, 1369, 770
